timestamp,total_energy,heat_pump,Tout,hour,hour_sin,hour_cos,max_Tout,min_Tout,avg_Tout,Tout_hourly_mean,Tout_std,total_energy_smoothed,energy_rolling_mean,energy_daily,energy_rolling_std,is_weekend,season,month,spike,total_energy_max
2018-07-09 09:45:00,235.100555419922,89.46355523003471,20.25,9,0.7071067811865476,-0.7071067811865475,28.5,11.39999961853,19.046875069538718,19.875,0.3227486121841231,367.13355437384723,237.4576109144424,527.5657743127257,8.022007442353845,0,2,7,3.790332455105329,3073.79133639865
2018-07-09 10:00:00,307.1101112365722,89.85777782864038,20.5,10,0.49999999999999994,-0.8660254037844387,28.5,11.39999961853,19.053125073512366,20.125,0.3227486121840382,364.41761093139644,242.48299929300944,526.7938043921082,35.100588717939004,0,2,7,72.00955581665022,3073.79133639865
2018-07-09 10:15:00,365.1548881530764,89.66933314005533,20.55000019073475,10,0.49999999999999994,-0.8660254037844387,28.5,11.39999961853,19.054166744152674,20.325000047683687,0.2533114590319602,364.41761093139644,271.10533332824707,525.3770254726762,63.994196221278074,0,2,7,58.04477691650419,3073.79133639865
2018-07-09 10:30:00,369.112220594618,89.76099972195101,20.6000003814695,10,0.49999999999999994,-0.8660254037844387,28.5,11.39999961853,19.050000081459647,20.475000143051062,0.15545645046939022,363.4986114501954,336.13249969482433,524.5582129690381,62.77456369581464,0,2,7,3.9573324415416096,3073.79133639865
2018-07-09 10:45:00,267.36744401719807,88.21466657850479,20.65000057220425,10,0.49999999999999994,-0.8660254037844387,28.5,11.39999961853,19.040625085433287,20.575000286102124,0.06454996867396505,362.99594408671106,336.13249969482433,523.5072164429558,48.92424548988445,0,2,7,-101.74477657741994,3073.79133639865
2018-07-09 11:00:00,282.6915551079639,75.78699968126087,20.700000762939,11,0.258819045102521,-0.9659258262890682,28.5,11.39999961853,19.026041756073585,20.625000476836874,0.0645499686738802,363.4986114501954,323.9232216305202,523.7423738417802,53.56740720188984,0,2,7,15.324111090765825,3073.79133639865
2018-07-09 11:15:00,307.3201104905871,88.04177763197164,20.75000047683675,11,0.258819045102521,-0.9659258262890682,28.5,11.39999961853,19.006770923733658,20.675000548362373,0.06454978399579636,364.41761093139644,295.0058327992755,523.623158569689,44.79248963654853,0,2,7,24.628555382623233,3073.79133639865
2018-07-09 11:30:00,231.6979988098147,91.31744427151152,20.8000001907345,11,0.258819045102521,-0.9659258262890682,28.5,11.39999961853,18.9828125884135,20.725000500678625,0.06454953775814484,364.41761093139644,275.029499562581,520.8882418703149,31.660919074127197,0,2,7,-75.62211168077243,3073.79133639865
2018-07-09 11:45:00,286.1177791171602,91.53244484795472,20.84999990463225,11,0.258819045102521,-0.9659258262890682,28.5,11.39999961853,18.954166750113107,20.775000333785623,0.06454935307970715,364.41761093139644,284.40466711256204,519.0174710644616,32.07855287453569,0,2,7,54.41978030734549,3073.79133639865
2018-07-09 12:00:00,375.11377733018674,92.0657779269748,20.89999961853,12,1.2246467991473532e-16,-1.0,28.5,11.39999961853,18.92083340883248,20.825000047683375,0.06454935307962299,363.4986114501954,296.7189448038737,519.4430682932889,59.31140250776818,0,2,7,88.99599821302655,3073.79133639865
2018-07-09 12:15:00,363.68033370971654,91.40044428507487,20.949999809265,12,1.2246467991473532e-16,-1.0,28.5,11.39999961853,18.883854235211935,20.874999880790437,0.06454953775798845,362.99594408671106,324.89905641343836,517.9063900550206,67.71010261189005,0,2,7,-11.4334436204702,3073.79133639865
